"","diNT","Freq","Rho","Z"
"1","aa",45.3205791106515,0.79132560629374,-2.3766488273641
"2","ac",53.0943640124095,1.03438391152738,0.344036921219184
"3","ag",61.0222337125129,1.2238021375118,2.33568000730106
"4","at",47.7430196483971,0.991982629879376,-0.0791765095974453
"5","ca",72.8624612202689,1.40307886788765,4.27522452606233
"6","cc",49.9490692864529,1.02349372480751,0.269821461642051
"7","cg",25.1158221302999,0.551884535122549,-4.36798469811194
"8","ct",42.5563598759049,0.970610225354189,-0.29155314092543
"9","ga",50.9718200620476,1.02834932679854,0.304610513057749
"10","gc",47.7096690796277,1.05076902387426,0.487346452481718
"11","gg",43.4694932781799,0.983940010505549,-0.168999285971679
"12","gt",39.85367114788,0.938673368233512,-0.575232816765997
"13","ta",38.0087900723888,0.796118642677292,-2.06550473170285
"14","tc",38.8893485005171,0.867794524440256,-1.26058897086826
"15","tg",51.6458117890383,1.22503612392319,2.09713421774663
"16","tt",45.1760599793175,1.11440184398343,1.05885680736641
