"","diNT","Freq","Rho","Z"
"1","aa",1824.24945770065,0.906416075616384,-6.82897037166584
"2","ac",837.013015184382,0.943105439682895,-2.38940297073745
"3","ag",1034.44902386117,1.03660902501369,1.64719042011262
"4","at",1632.59652928416,1.14124364421388,8.0087107070881
"5","ca",1174.27114967462,1.32294615880652,13.5654583824514
"6","cc",368.980477223427,0.937854677756175,-1.50435958565051
"7","cg",166.195227765727,0.377255735707209,-16.1257915379618
"8","ct",641.323210412148,1.01938294921782,0.631607425917373
"9","ga",1167.59002169197,1.16990474833806,7.64368113015893
"10","gc",352.544468546638,0.800690386462218,-5.16084653786238
"11","gg",574.861171366594,1.16083809435055,4.46014083589558
"12","gt",548.334056399132,0.77272773062529,-7.95208246442894
"13","ta",1162.13449023861,0.811596581222303,-10.6702052731205
"14","tc",792.336225596529,1.25898157831667,8.44313541859544
"15","tg",867.763557483731,1.22391614787369,7.81259052449547
"16","tt",966.498915401301,0.947907966559872,-2.28263810014388
