"","diNT","Freq","Rho","Z"
"1","aa",143.629923946958,1.06489690742569,1.09570192542732
"2","ac",75.7609204368175,0.905452449042,-1.16244197411364
"3","ag",95.431844773791,0.924055880092736,-1.06723930280102
"4","at",120.050702028081,1.05862887509954,0.876476202273229
"5","ca",116.455148205928,1.39177155717068,4.81391983568594
"6","cc",58.8823127925117,1.13386087919118,1.19776394738873
"7","cg",24.1644890795632,0.377019623526583,-6.37274424773197
"8","ct",70.9453490639626,1.00830415334464,0.0905151706616444
"9","ga",100.891721918877,0.97696659523311,-0.324319093518564
"10","gc",58.4213143525741,0.9117331462406,-0.903576167641636
"11","gg",89.3323907956318,1.1293346522098,1.51280156561123
"12","gt",85.1273888455538,0.980236399416517,-0.246255313582964
"13","ta",72.8672971918877,0.642396273002816,-5.34552948743319
"14","tc",77.3830440717629,1.09961272483502,1.08584131220959
"15","tg",124.86266575663,1.43792594012742,5.44935969094841
"16","tt",90.3811427457098,0.947506596283641,-0.694641515238344
