"","diNT","Freq","Rho","Z"
"1","aa",214.214122057905,1.09713617909172,2.05921240278119
"2","ac",104.255571755884,0.923625384086071,-1.11456988213483
"3","ag",111.927056863154,0.874343332604121,-1.98677144703746
"4","at",145.590668610706,1.04561410138858,0.763139736129488
"5","ca",148.126015413456,1.31244976939097,4.56173909326488
"6","cc",67.7416788169131,1.03818155293624,0.379745245903311
"7","cg",30.3947510935222,0.410105114360002,-6.42805452745609
"8","ct",86.7517600499896,1.07773687617032,0.895045672856253
"9","ga",129.683982503645,1.01307091880377,0.206587928888554
"10","gc",74.3085190585295,1.00351616852317,0.0390510312754258
"11","gg",106.985669652156,1.27423356467105,3.2346255172762
"12","gt",65.9476775671735,0.72223014624596,-3.46222917117689
"13","ta",81.988669027286,0.588738414771656,-6.86604244147489
"14","tc",86.7800041657988,1.07822343989399,0.89967803500162
"15","tg",128.471151843366,1.40722391317279,5.07581573447022
"16","tt",112.516767340137,1.13315086857015,1.75247653178297
