"","diNT","Freq","Rho","Z"
"1","aa",354.004081632653,0.966896179776076,-0.792847145963405
"2","ac",585.204081632653,1.06534470546163,2.05204267961662
"3","ag",487.155102040816,0.939484086178557,-1.82446041478875
"4","at",391.228571428571,1.01830620922771,0.452352849890108
"5","ca",672.375510204082,1.22401923564078,7.03549828992937
"6","cc",822.232653061224,0.997500458847245,-0.105247726701361
"7","cg",577.632653061224,0.742267498197477,-10.1815370677676
"8","ct",655.865306122449,1.13778644345476,4.46046637864135
"9","ga",494.938775510204,0.954494618093877,-1.37192441923674
"10","gc",732,0.940656427381979,-2.34355258986089
"11","gg",853.334693877551,1.16171876520252,6.13289514296524
"12","gt",495.685714285714,0.910868334449795,-2.76997367963576
"13","ta",296.257142857143,0.771008179573644,-5.65547596125215
"14","tc",589.45306122449,1.0225881071867,0.730889126518204
"15","tg",656.885714285714,1.20713520903744,6.43696772350364
"16","tt",365.648979591837,0.906716407717268,-2.37436408406346
