"","diNT","Freq","Rho","Z"
"1","aa",64.4634146341463,1.00699360157075,0.0790024223547542
"2","ac",62.5557491289199,1.12919791143084,1.31724685390816
"3","ag",49.1306620209059,0.942660347022014,-0.562770077609943
"4","at",48.801393728223,0.90405082113843,-0.969152735531601
"5","ca",72.8135888501742,1.31533657639811,3.22049294177867
"6","cc",50.7648083623693,1.06266731150164,0.58195383401109
"7","cg",24.4320557491289,0.542354729743576,-4.08704612831922
"8","ct",47.6132404181185,1.01044182363654,0.0982552144873761
"9","ga",45.3048780487805,0.867895467204133,-1.30035111137993
"10","gc",45.5418118466899,1.00552388157034,0.0494997274565873
"11","gg",48.5940766550523,1.13285252904896,1.13950380157625
"12","gt",45.3484320557491,1.02606324337214,0.228794870751082
"13","ta",43.287456445993,0.803050813603914,-1.98614053695459
"14","tc",36.7979094076655,0.784187320484177,-1.97036790852091
"15","tg",62.6742160278746,1.41229063390185,3.62934286393453
"16","tt",48.9337979094077,1.05876536760647,0.53729927267555
